year,number,one,two,three,four,five,six,seven,eight,nine
1909,81,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,82,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,83,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,84,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,85,Evers,Sheckard,Schulte,Howard,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,86,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,87,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,88,Evers,Sheckard,Schulte,Chance,Steinfeldt,Stanley,Tinker,Archer,pitcher
1909,89,Evers,Sheckard,Stanley,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,90,Evers,Sheckard,Stanley,Howard,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,91,Evers,Sheckard,Stanley,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,92,Evers,Sheckard,Stanley,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,93,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,94,Evers,Sheckard,Schulte,Howard,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,95,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,96,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,97,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,98,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,99,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,100,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,101,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,102,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Moran,pitcher
1909,103,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Moran,pitcher
1909,104,Evers,Kane,Schulte,Chance,Steinfeldt,Hofman,Tinker,Needham,pitcher
1909,105,Zimmerman,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Needham,pitcher
1909,106,Zimmerman,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Needham,pitcher
1909,107,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,108,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,109,Evers,Sheckard,Schulte,Howard,Steinfeldt,Hofman,Tinker,Needham,pitcher
1909,110,Evers,Sheckard,Schulte,Howard,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,111,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,112,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Archer,pitcher
1909,113,Evers,Sheckard,Schulte,Howard,Steinfeldt,Hofman,Tinker,Archer,pitcher
